school,scholarships,other,year,total_expenses,building_and_grounds,coaching_staff
Oregon,9959416,27765593,2014,110378432,36187900,36465523
Oregon,10121953,24731672,2013,94972708,25051289,35067794
Oregon,9603305,24673936,2012,89709350,24428061,31004048
Oregon,9163627,24684683,2011,76274142,10395087,32030745
Oregon,8709532,33898710,2010,77856232,13799534,21448456
Oregon,7579940,28849653,2009,60248727,5842713,17976421
Oregon,6929651,29040813,2008,56259942,5379341,14910137
Oregon,6252820,21574963,2007,49531150,6068463,15634904
Oregon,5797954,22056394,2006,44711104,5760316,11096440
Oregon,5519836,18223546,2005,40107833,6675536,9688915
Texas,10842276,56441918,2014,154128877,25754890,61089793
Texas,9956345,56487208,2013,146807585,25125236,55238796
Texas,9350290,51377957,2012,138269710,24015613,53525850
Texas,8957818,51466119,2011,133686815,23351038,49911840
Texas,8444494,51203165,2010,130436534,23273732,47515143
Texas,7891315,53409836,2009,127651428,22017596,44332681
Texas,6993766,47127925,2008,110996365,16360167,40514507
Texas,7475102,39221475,2007,97235567,13794064,36744926
Texas,6617234,36216968,2006,90738962,13768744,34136016
Texas,5745775,31842424,2005,82400829,13891010,30921620
Michigan,19564771,43789944,2014,142551994,29776106,49421173
Michigan,18301214,39032997,2013,131018311,28972772,44711328
Michigan,16830130,36024413,2012,115200187,23293457,39052187
Michigan,16323215,32822376,2011,111844553,24944126,37754836
Michigan,15715139,25385619,2010,89133850,14819709,33213383
Michigan,14967673,25741348,2009,84542142,12935269,30897852
Michigan,13584477,27164702,2008,85496004,14825357,29921468
Michigan,12557942,24218295,2007,74925433,13310715,24838481
Michigan,12257572,20140609,2006,67909246,12360967,23150098
Michigan,11366586,17062886,2005,61387144,11343081,21614591
Alabama,13932875,39406106,2014,120184128,21873514,44971633
Alabama,13281263,39078624,2013,116607913,22032122,42215904
Alabama,12539992,34831604,2012,108204867,21519072,39314199
Alabama,11931747,32413705,2011,105068152,24585207,36137493
Alabama,11505829,35121433,2010,98961214,18234184,34099768
Alabama,9954368,32635991,2009,90868971,16787445,31491167
Alabama,8824492,65246911,2008,123370004,19978103,29320498
Alabama,8280649,25834566,2007,77106548,17932449,25058884
Alabama,6662755,20025020,2006,60636961,14366474,19582712
Alabama,6643235,16675603,2005,56989608,16245559,17425211
Ohio State,16831633,38346319,2014,113937001,5707938,53051111
Ohio State,15357209,41417018,2013,116026329,6359999,52892103
Ohio State,15060063,72035991,2012,124419412,5820134,31503224
Ohio State,15129920,49655442,2011,122286869,27258434,30243073
Ohio State,11887986,51958552,2010,122739754,29161596,29731620
Ohio State,13618272,44614108,2009,119859608,31050642,30576586
Ohio State,13184957,40125966,2008,114264848,30300816,30653109
Ohio State,12036229,36142549,2007,109197920,27321885,33697257
Ohio State,11346063,34738255,2006,101804852,30317388,25403146
Ohio State,10542719,28376689,2005,89580307,26092018,24568881
LSU,12697882,53774614,2014,122945710,18688508,37784706
LSU,11296522,40326167,2013,105312018,18113427,35575902
LSU,10911066,38789839,2012,101989116,17395025,34893186
LSU,9966107,34064369,2011,91796925,17214808,30551641
LSU,8849137,41678483,2010,102326769,21295397,30503752
LSU,8496058,38642025,2009,94451691,18813229,28500379
