school,other,ticket_sales,year,total_revenues,student_fees,contributions,rights_and_licensing,school_funds
Oregon,6741185,26625906,2014,196030398,1715099,124927474,35580734,440000
Oregon,9991667,25257158,2013,115241070,1524045,46627597,31027271,813332
Oregon,8119540,23349642,2012,94635829,1524044,32387615,28303172,951816
Oregon,7721939,19982098,2011,85819699,1460076,33214707,22481100,959779
Oregon,6680709,18102199,2010,122394483,1544344,73809775,21116658,1140798
Oregon,4658443,17153036,2009,59049245,0,17909222,17930450,1398094
Oregon,2606070,17410851,2008,56623901,0,18347181,17091388,1168411
Oregon,6431009,15545126,2007,50489771,0,10589184,17924452,0
Oregon,6610368,13418338,2006,45197269,1417567,11863044,11887952,0
Oregon,5638764,12151382,2005,39976635,1369845,11651406,9165238,0
Texas,9024320,53655400,2014,161035187,0,37633031,60722436,0
Texas,8672517,60860735,2013,165691486,0,37386271,58771963,0
Texas,9448342,59207378,2012,163295115,0,40747347,53892048,0
Texas,9526251,61196689,2011,150295926,0,37337126,42235860,0
Texas,8850877,56741662,2010,143555354,0,37110292,40852523,0
Texas,9174403,55394209,2009,138459149,0,37291370,36599167,0
Texas,7232758,44691119,2008,120288370,1832229,35057421,31474843,0
Texas,7703591,44562934,2007,105048632,1884145,27190731,23707231,0
Texas,9139199,34280260,2006,97756776,1690855,26507774,26138688,0
Texas,7625245,33507576,2005,89651682,1673928,22324445,23167106,1353382
Michigan,13506085,53269056,2014,157899820,0,35267267,55601096,256316
Michigan,14887203,43135543,2013,143514125,0,31285461,53950086,255832
Michigan,7120231,52369702,2012,140131187,0,28518000,51864369,258885
Michigan,6090650,41668589,2011,122739052,0,27961623,46745506,272684
Michigan,5794617,41715138,2010,106874031,0,19297426,39833680,233170
Michigan,5787858,37541590,2009,95193030,0,12752000,39090935,20647
Michigan,7506054,40258325,2008,99027105,0,15138000,36065909,58817
Michigan,8911110,35865979,2007,89079982,0,13888996,30361932,51965
Michigan,7768372,36681373,2006,85452441,0,13961314,27004264,37118
Michigan,6915685,31432123,2005,78424186,0,16342620,23733758,0
Alabama,25300181,37219343,2014,153234273,0,32196689,52520960,5997100
Alabama,18814859,38904537,2013,143776550,0,34233035,46032919,5791200
Alabama,13407421,33043253,2012,124899945,0,30390598,42597473,5461200
Alabama,19691397,31712455,2011,124498616,0,30082101,37777363,5235300
Alabama,22825539,29874977,2010,130542153,0,33739056,39122581,4980000
Alabama,10784788,28611953,2009,100302512,0,29641806,26212980,5050985
Alabama,33710425,28410419,2008,123769841,0,29860400,22331335,9457262
Alabama,8544233,22746457,2007,87589777,3786115,26979612,22035823,3497537
Alabama,6472090,18669242,2006,67730762,2803256,22397071,17389103,0
Alabama,5649956,18418306,2005,62287192,2550605,20262542,15405783,0
Ohio State,11087539,56002638,2014,145232681,0,28201658,49940846,0
Ohio State,17066959,54598907,2013,139639307,0,22204606,45768835,0
Ohio State,33244453,49107015,2012,142043057,0,19106302,40585287,0
Ohio State,20572398,50009395,2011,131815821,0,17636938,43597090,0
Ohio State,11789780,39515387,2010,123174176,0,27327347,44541662,0
Ohio State,14071879,40776260,2009,119711581,0,27321161,37542281,0
Ohio State,12060571,38608138,2008,115737022,0,27556385,37511928,0
Ohio State,12371937,42851925,2007,109382222,0,24808496,29346675,3189
Ohio State,10629370,42104738,2006,104704852,0,23070587,28890246,9911
Ohio State,9855271,34073089,2005,89700979,0,19829556,25937634,5429
LSU,6638387,37686975,2014,133679256,0,49333582,40020312,0
LSU,3892622,38917845,2013,117457398,0,32089896,42557035,0
LSU,5985749,31502735,2012,114787786,0,35964739,41334563,0
LSU,2787141,35079579,2011,107259352,0,31927029,37465603,0
LSU,3802872,31721048,2010,111030795,0,38255521,37251354,0
LSU,4442688,35450193,2009,100878633,0,31174177,29811575,0
LSU,4551797,28519228,2008,85018205,0,23252017,28695163,0
LSU,3140972,28300547,2007,76270050,0,19555909,25272622,0
LSU,5568767,21479485,2006,67430786,0,17410137,22972397,0
LSU,4544847,23359796,2005,60937676,0,11189385,21843648,0
Oklahoma,12336148,36940264,2014,129226692,0,33363102,46587178,0
Oklahoma,8214536,37770523,2013,123805661,0,34487196,43333406,0
Oklahoma,5529242,36281486,2012,106456616,0,32580273,32065615,0
Oklahoma,9098728,35856411,2011,104338844,0,28671113,30712592,0
